earliest_filing_year,ctry_code,cpc_green,count
1998,PF,Other,1.00000000000000000000
1999,PF,Other,0.99999999999999999999
2001,PF,Other,2.00000000000000000000
2002,PF,Other,0.99999999999999999999
2005,PF,Other,0.50000000000000000000
2008,PF,Other,0.33333333333333333336
2009,PF,Other,0.50000000000000000000
2012,PF,Other,0.40000000000000000000
2015,PF,Other,0.62962962962962962964
2016,PF,Other,0.50000000000000000000
1974,PG,Other,1.00000000000000000000
1975,PG,Other,1.00000000000000000000
1981,PG,Other,0.66666666666666666669
1982,PG,Other,1.00000000000000000000
1986,PG,Other,2.83333333333333333333
1991,PG,Other,0.33333333333333333335
1994,PG,Other,0.50000000000000000000
1999,PG,Other,2.00000000000000000000
2000,PG,Other,0.33333333333333333333
2002,PG,Other,1.00000000000000000000
2004,PG,Other,0.50000000000000000001
2013,PG,Other,1.00000000000000000000
2017,PG,Other,0.49999999999999999998
1904,PH,Other,1.00000000000000000000
1905,PH,Other,3.00000000000000000000
1906,PH,Other,2.00000000000000000000
1907,PH,Other,2.00000000000000000000
1908,PH,Other,1.00000000000000000000
1911,PH,Other,4.00000000000000000000
1914,PH,Other,3.00000000000000000000
1915,PH,Other,2.00000000000000000000
1916,PH,Other,9.00000000000000000000
1917,PH,Other,1.99999999999999999999
1919,PH,Other,1.00000000000000000000
1920,PH,Other,1.50000000000000000000
1921,PH,Other,2.00000000000000000000
1924,PH,Other,1.00000000000000000000
1925,PH,Other,2.00000000000000000000
1927,PH,Other,1.99999999999999999999
1928,PH,Other,1.00000000000000000000
1930,PH,Other,1.00000000000000000000
1940,PH,Other,0.99999999999999999999
1941,PH,Other,1.00000000000000000000
1942,PH,Other,1.00000000000000000000
1948,PH,Other,1.00000000000000000000
1950,PH,Other,1.99999999999999999999
1953,PH,Other,2.00000000000000000000
1959,PH,Other,2.00000000000000000002
1961,PH,Other,1.00000000000000000000
1962,PH,Other,3.16666666666666666666
1963,PH,Other,2.00000000000000000000
1964,PH,Other,3.85714285714285714284
1965,PH,Other,0.50000000000000000006
1966,PH,Other,3.00000000000000000000
1967,PH,Other,0.33333333333333333333
1968,PH,Other,3.50000000000000000001
1969,PH,Other,3.83333333333333333334
1970,PH,Other,3.09999999999999999998
1971,PH,Other,2.50000000000000000000
1972,PH,Other,5.42857142857142857140
1973,PH,Other,6.53333333333333333336
1974,PH,Other,8.10000000000000000000
1975,PH,Other,8.74999999999999999999
1976,PH,Other,13.96428571428571428569
1977,PH,Other,8.49999999999999999999
1978,PH,Other,13.86666666666666666667
1979,PH,Other,16.49999999999999999998
1980,PH,Other,8.87500000000000000000
1981,PH,Other,26.75000000000000000000
1982,PH,Other,42.33333333333333333333
1983,PH,Other,50.00000000000000000001
1984,PH,Other,24.99999999999999999998
1985,PH,Other,43.99999999999999999998
1986,PH,Other,36.66666666666666666669
1987,PH,Other,22.08333333333333333334
